[Eng] 인스타 셀카 데일리 메이크업 + 똥머리 묶는법! l 이사배(Risabae Makeup),https://youtu.be/Z7Z2NzAZRvg,18:11,1264517,2016. 10. 7.,https://img.youtube.com/vi/Z7Z2NzAZRvg/0.jpg,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),입생로랑 유스 리버레이터 세럼 파운데이션 [SPF20/PA++] BR-20, 클리오 킬커버 란제리,케빈어코인 더 셀레스철 하이라이팅 파우더 , 에스쁘아 퍼펙트 오일컨트롤 프레스드 파우더,슈에무라 하드 포뮬라 아콘,"마몽드 (Mamonde) 비비드 터치 아이즈 [쉬머]
14 휴가코랄",삐아 라스트 펜 아이라이너 초코 브라운, 클리오 버진키스 틴티드립 핑크리셔스,,,,,,
실패없는 데일리메이크업 (with.리얼테크닉) l 이사배(Risabae Makeup),https://youtu.be/l0XwJCKUeMw,20:39,1887395,2016. 9. 30.,https://img.youtube.com/vi/l0XwJCKUeMw/0.jpg,입생로랑 올아워 쿠션 파운데이션 [SPF50/PA+++] #20, 에스쁘아 퍼펙트 오일 컨트롤 프레스드 파우더, 프로에잇청담 젤아이라이너 브라운,삐아 라스트 펜 아이라이너 초코 브라운,슈에무라 하드 포뮬라 아콘,나스 (NARS) 벨벳 매트 립 펜슬 볼레로,미샤 듀이 루즈 허니 애플,,,,,,,,
Back to school makeup 학생때 더 예뻐 보이는 메이크업! l 이사배(Risabae Makeup),https://youtu.be/sSvbPfRFe-A,18:14,1499393,2016. 9. 2.,https://img.youtube.com/vi/sSvbPfRFe-A/0.jpg,페리페라 블러팡 퓨어밀크블러 ,스킨푸드 연어 다크서클 컨실러 크림 2호 살몬 베이지,아리따움 풀커버 스틱 컨실러 02 내추럴베이지,아리따움 매직 컨투어링 파우더 탠 브라운,아리따움 매직 컨투어링 파우더 탠 브라운,마몽드 (Mamonde) 내추럴 우드펜슬 아이브로우 03호 그레이,아리따움 매직 컨투어링 파우더 탠 브라운,마몽드 (Mamonde) 내추럴 우드펜슬 아이브로우 03호 그레이,마몽드 (Mamonde) 내추럴 우드펜슬 아이브로우 03호 그레이, 에뛰드하우스 오마이래쉬 쌩얼카라 ,,,,,
Early Fall daily make up 활용도높은 초가을 데일리 음영메이크업! l 이사배(Risabae Makeup),https://youtu.be/CSfyQ9rKhmg,14:09,746608,2016. 8. 31.,https://img.youtube.com/vi/CSfyQ9rKhmg/0.jpg, 빌리프 더 밤 올마이티,맥 (MAC) 프로 롱웨어 컨실러 NC20,슈에무라 하드 포뮬라 아콘,,,,,,,,,,,,
요청폭주 데일리메이크업(feat.렌즈) l 이사배(Risabae Makeup),https://youtu.be/ff2NgCSY0Z0,12:07,410820,2016. 8. 12.,https://img.youtube.com/vi/ff2NgCSY0Z0/0.jpg,맥 (MAC) 프로 롱웨어 컨실러 NC20,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),바닐라코 프라임 프라이머 피니쉬 블러 팩트 BLENDING,스틸라 퍼펙트 아이&치크 팔레트 미디움,삐아 글리터 아이라이너 02 풀문,웨이크메이크 (WAKEMAKE) 철벽 아이라이너 02 펜 브라운,슈에무라 하드 포뮬라 씰 브라운,캔메이크 (CANMAKE) 아이 뉘앙스 NO.11 민크 그린,,,,,,,
에스닉 데일리메이크업 Ethnic Silver brown daily makeupl 이사배(Risabae Makeup),https://youtu.be/Rb05Wpi7Ikk,12:59,126894,2016. 7. 29.,https://img.youtube.com/vi/Rb05Wpi7Ikk/0.jpg,조르지오아르마니 디자이너 리프트 파운데이션 [SPF20/PA+++] #2 핑크 베이스, 맥 프로롱웨어 컨실러 NC20 (피카소 Proof Silver 0, 에스쁘아 퍼펙트 오일 컨트롤 프레스드 파우더,"더바디샵 쉬머 큐브 아이섀도우 팔래트 06 : 초콜릿 박스
30: 스프링 브론즈", 삐아 피그먼트 일광(언더에,웨이크메이크 이지펜 아이라이너 브라운, 슈에무라 하드포뮬라 아콘,베네피트 (benefit) 단델리온 ,,,,,,,
처피뱅 데일리 메이크업 (Choppy bang Daily makeup) l 이사배(Risabae Makeup),https://youtu.be/ZooO1PEXZ6o,12:01,382826,2016. 7. 22.,https://img.youtube.com/vi/ZooO1PEXZ6o/0.jpg,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤), 에스쁘아 퍼펙트 오일 컨트롤 프레스드 파우더,웨이크메이크 이지펜 아이라이너 브라운, 토니모리 쉬어매트립 펜슬 코랄펌킨,,,,,,,,,,,
과즙상 데일리 메이크업 l 이사배(Risabae Makeup),https://youtu.be/Hr64eDGt5hA,14:16,471977,2016. 7. 4.,https://img.youtube.com/vi/Hr64eDGt5hA/0.jpg, VDL 컬러코렉팅 프라이머 세레니티 (에스쁘아 스키니 픽스 블렌더,조르지오아르마니 디자이너 리프트 파운데이션 [SPF20/PA+++] #2 핑크 베이스, 베네피트 하이브로우,클리오 킬커버 리퀴드 컨실러 002 란제리, 미쯔요시 그리스페인트 컨실러 2,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),베네피트 (benefit) 헬로 플로리스 [SPF15] 아이보리,바닐라코 프라임 프라이머 피니쉬 블러 팩트 BLENDING, 투페이스드 피치파레트(에서 펄브라운,삐아 다우니 치크 05 다우니 코랄,삐아 다우니 치크 05 다우니 코랄,페리페라 (peripera) 페리스 잉크 더 벨벳 2심쿵유발, 맥 립글라스 클리어 (투명 립글로즈,,
흰티에 청바지 데일리메이크업! l 이사배(Risabae Makeup),https://youtu.be/O9fkLAwmjVc,10:27,852848,2016. 6. 23.,https://img.youtube.com/vi/O9fkLAwmjVc/0.jpg,맥 (MAC) 프로 롱웨어 컨실러 NC20,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),베네피트 (benefit) 헬로 플로리스 [SPF15] ,미샤 컬러빔 쉐이더 BE01, 베네피트 하이브로우 글로우,"삐아 라스트 오토 젤 아이라이너 R4 로즈번
W1그레이스브라운",슈에무라 하드 포뮬라 씰 브라운,네이처리퍼블릭 보테니컬 케익 아이브로우 다크브라운,"삐아 라스트 오토 젤 아이라이너 R4 로즈번
W1그레이스브라운",,,,,,
건강해 보이는 헬씨 l 이사배(Risabae Makeup),https://youtu.be/XiD1lxr0cOo,13:36,172353,2016. 6. 17.,https://img.youtube.com/vi/XiD1lxr0cOo/0.jpg,조르지오아르마니 디자이너 리프트 파운데이션 [SPF20/PA+++] #2 핑크 베이스,맥 (MAC) 프로 롱웨어 컨실러 NC20, 에스쁘아 퍼펙트오일컨트롤 프레스드파우더, 에스쁘아 브론즈페인팅 쥬얼샌드, 슈에무라 하드포뮬라 아콘, 웨이크메이크 펜아이라이너 브라운(모내기용,,,,,,,,,
